Category,Country,Customer ID,Order Date,Order ID,Payment Method,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Clothing,UK,4026,03/05/23 0:00,ORDER00033,Credit Card,116,Yes,5,Next Day,14.00%,$74.7,$112,6,3,$34.4,$0K
Electronics,Canada,4732,2/17/2023 12:00:00 AM,ORDER00034,Bank Transfer,977,No,5,Next Day,17.00%,$215.5,$252,10,2,$10.5,$2K
Clothing,France,1783,10/23/2023 12:00:00 AM,ORDER00035,Bank Transfer,756,No,2,Express,23.00%,$762.6,"$1,109",8,4,$9.8,$5K
Books,Canada,9874,06/04/23 0:00,ORDER00036,Cash,710,No,4,Express,29.00%,$248.1,$57,3,4,$35.6,$1K
Home,Canada,9870,12/12/23 0:00,ORDER00037,Cash,848,No,3,Standard,22.00%,$109.1,$70,5,4,$8.0,$0K
Home,Canada,6525,11/02/23 0:00,ORDER00038,Credit Card,432,No,3,Next Day,33.00%,$345.7,$68,1,5,$4.8,$0K
Electronics,USA,8410,7/18/2023 12:00:00 AM,ORDER00039,Credit Card,449,No,4,Next Day,38.00%,$577.6,$345,4,5,$6.6,$1K
Electronics,USA,4397,02/09/23 0:00,ORDER00040,Credit Card,851,Yes,2,Standard,12.00%,$262.6,$197,6,2,$30.9,$1K
Books,UK,8253,10/03/23 0:00,ORDER00041,PayPal,100,No,5,Next Day,25.00%,$773.5,$709,7,0,$7.9,$4K
Electronics,Germany,6238,5/18/2023 12:00:00 AM,ORDER00042,PayPal,985,No,1,Standard,21.00%,$992.3,"$1,877",10,5,$31.4,$8K
Electronics,Germany,9299,2/19/2023 12:00:00 AM,ORDER00043,Bank Transfer,178,Yes,5,Next Day,27.00%,$652.1,$892,7,3,$13.6,$3K
Sports,Germany,7618,2/14/2023 12:00:00 AM,ORDER00044,Bank Transfer,756,No,3,Express,23.00%,$686.3,$543,8,0,$37.5,$4K
Home,France,4985,9/14/2023 12:00:00 AM,ORDER00045,PayPal,798,No,2,Standard,31.00%,$168.9,$211,9,4,$28.9,$1K
Home,UK,1968,6/27/2023 12:00:00 AM,ORDER00046,PayPal,660,No,2,Express,33.00%,$830.7,$831,5,5,$29.8,$3K
Clothing,France,5881,05/04/23 0:00,ORDER00047,Credit Card,148,Yes,1,Express,19.00%,$64.8,$5,1,1,$41.6,$0K
Sports,Germany,1661,5/26/2023 12:00:00 AM,ORDER00048,Cash,911,Yes,3,Express,11.00%,$915.0,$775,8,1,$41.9,$7K
Home,UK,8987,01/03/23 0:00,ORDER00049,Credit Card,424,Yes,4,Express,33.00%,$333.6,$216,5,1,$9.8,$1K
Clothing,France,8738,7/18/2023 12:00:00 AM,ORDER00050,Cash,289,Yes,1,Standard,18.00%,$264.6,$606,10,2,$24.7,$2K
Books,Germany,8098,7/18/2023 12:00:00 AM,ORDER00051,Cash,962,Yes,4,Standard,29.00%,$114.4,$71,7,2,$34.7,$1K
Electronics,USA,6680,12/14/2023 12:00:00 AM,ORDER00052,Cash,266,Yes,1,Standard,7.00%,$548.1,"$1,456",10,5,$21.4,$5K
Home,Germany,8897,01/05/23 0:00,ORDER00053,Credit Card,698,No,5,Standard,39.00%,$63.2,$8,1,5,$43.2,$0K
Books,UK,6196,6/19/2023 12:00:00 AM,ORDER00054,Bank Transfer,640,Yes,4,Express,15.00%,$494.6,$64,1,2,$4.8,$0K
Home,Germany,4633,4/15/2023 12:00:00 AM,ORDER00055,Cash,545,No,4,Standard,28.00%,$815.8,$313,2,0,$26.1,$1K
Sports,USA,1687,12/08/23 0:00,ORDER00056,Bank Transfer,544,No,1,Express,24.00%,$760.5,$686,7,0,$39.8,$4K
Clothing,Canada,3165,6/20/2023 12:00:00 AM,ORDER00057,Bank Transfer,715,No,4,Next Day,13.00%,$108.3,$150,7,0,$47.8,$1K
Electronics,France,7694,09/11/23 0:00,ORDER00058,PayPal,245,No,1,Next Day,35.00%,$488.4,$177,3,5,$16.3,$1K
Books,Canada,5479,3/18/2023 12:00:00 AM,ORDER00059,PayPal,152,Yes,3,Express,20.00%,$875.8,$372,2,4,$45.8,$1K
Electronics,France,6326,11/01/23 0:00,ORDER00060,Cash,676,Yes,3,Standard,14.00%,$701.1,$398,5,4,$12.5,$3K
Clothing,Germany,3225,9/13/2023 12:00:00 AM,ORDER00061,Cash,511,No,1,Standard,9.00%,$68.5,$90,5,2,$6.2,$0K
Electronics,UK,9271,8/26/2023 12:00:00 AM,ORDER00062,Bank Transfer,460,Yes,1,Standard,36.00%,$201.0,$39,2,4,$44.4,$0K
Electronics,Canada,2439,9/28/2023 12:00:00 AM,ORDER00063,Credit Card,883,Yes,1,Standard,34.00%,$925.3,$287,4,1,$4.7,$2K
Electronics,USA,3961,2/22/2023 12:00:00 AM,ORDER00064,Credit Card,184,Yes,5,Express,39.00%,$667.6,$515,6,5,$49.6,$2K
Home,Germany,7671,9/21/2023 12:00:00 AM,ORDER00065,Cash,29,No,5,Next Day,14.00%,$782.5,$522,3,2,$27.0,$2K
Clothing,USA,8015,10/15/2023 12:00:00 AM,ORDER00066,Credit Card,803,No,2,Express,40.00%,$554.1,$234,4,4,$37.9,$1K
Home,Canada,9109,06/04/23 0:00,ORDER00067,PayPal,129,Yes,2,Standard,27.00%,$117.7,$146,8,3,$10.5,$1K
Clothing,UK,5530,12/19/2023 12:00:00 AM,ORDER00068,Credit Card,129,No,3,Next Day,35.00%,$490.8,$218,3,4,$29.2,$1K
Home,France,3401,3/13/2023 12:00:00 AM,ORDER00069,Bank Transfer,933,Yes,3,Express,34.00%,$533.9,$206,5,5,$39.9,$2K
Electronics,UK,2140,05/12/23 0:00,ORDER00070,PayPal,54,No,2,Express,34.00%,$451.0,$223,3,1,$41.5,$1K
Electronics,France,4708,10/22/2023 12:00:00 AM,ORDER00071,Cash,902,Yes,2,Standard,12.00%,$979.2,$221,1,4,$15.7,$1K
Electronics,France,2028,4/14/2023 12:00:00 AM,ORDER00072,Credit Card,551,No,1,Express,27.00%,$295.1,$398,8,1,$43.1,$2K
Clothing,UK,4275,8/21/2023 12:00:00 AM,ORDER00073,Credit Card,489,Yes,2,Next Day,14.00%,$261.6,$160,3,3,$46.3,$1K
Home,Germany,3981,03/05/23 0:00,ORDER00074,Credit Card,757,Yes,3,Next Day,8.00%,$452.9,$485,6,1,$22.2,$2K
Books,Germany,5686,06/03/23 0:00,ORDER00075,Cash,274,No,4,Next Day,38.00%,$524.6,$444,9,5,$24.8,$3K
Electronics,USA,4942,09/05/23 0:00,ORDER00076,PayPal,336,Yes,1,Express,16.00%,$326.9,$301,4,2,$45.2,$1K
Home,Canada,5778,10/04/23 0:00,ORDER00077,PayPal,389,Yes,1,Express,39.00%,$989.6,$439,5,3,$43.9,$3K
Sports,USA,7961,12/24/2023 12:00:00 AM,ORDER00078,Credit Card,618,No,4,Next Day,14.00%,$124.4,$99,8,0,$18.7,$1K
Clothing,France,6660,7/23/2023 12:00:00 AM,ORDER00079,Credit Card,43,Yes,4,Standard,32.00%,$981.6,$717,9,4,$31.3,$6K
Sports,USA,5971,3/14/2023 12:00:00 AM,ORDER00080,Credit Card,443,Yes,4,Express,33.00%,$917.5,"$1,339",10,2,$47.2,$6K
Sports,Canada,2926,12/09/23 0:00,ORDER00081,Credit Card,544,Yes,2,Express,25.00%,$933.7,$371,5,5,$43.5,$4K
Home,Germany,6756,05/12/23 0:00,ORDER00082,Credit Card,889,Yes,3,Standard,38.00%,$389.4,$61,2,0,$48.7,$0K
Home,Canada,2486,08/06/23 0:00,ORDER00083,Credit Card,258,Yes,1,Standard,29.00%,$610.7,$210,4,0,$41.5,$2K
Home,Canada,2776,4/18/2023 12:00:00 AM,ORDER00084,Bank Transfer,322,No,1,Next Day,17.00%,$585.8,$91,1,5,$15.8,$0K
Electronics,UK,8397,8/14/2023 12:00:00 AM,ORDER00085,PayPal,1000,No,3,Next Day,10.00%,$607.3,$438,6,0,$6.7,$3K
Books,Germany,3488,11/12/23 0:00,ORDER00086,Bank Transfer,938,No,5,Standard,25.00%,$69.2,$87,6,3,$22.3,$0K
Books,USA,3733,03/04/23 0:00,ORDER00087,Credit Card,58,Yes,3,Next Day,23.00%,$815.4,$691,9,2,$40.7,$6K
Electronics,USA,9962,11/18/2023 12:00:00 AM,ORDER00088,Credit Card,292,Yes,3,Standard,24.00%,$373.5,$146,5,0,$3.3,$1K
Electronics,France,7136,12/15/2023 12:00:00 AM,ORDER00089,PayPal,871,Yes,3,Express,18.00%,$916.9,"$1,507",8,3,$42.4,$6K
Books,Germany,1539,09/02/23 0:00,ORDER00090,PayPal,120,Yes,3,Express,31.00%,$193.3,$58,2,4,$47.3,$0K
Home,USA,5975,12/02/23 0:00,ORDER00091,Credit Card,780,Yes,4,Express,21.00%,$582.3,$241,2,5,$20.4,$1K
Home,Canada,7021,9/21/2023 12:00:00 AM,ORDER00092,Bank Transfer,431,Yes,1,Express,36.00%,$602.6,$267,3,2,$35.1,$1K
Books,USA,3328,11/17/2023 12:00:00 AM,ORDER00093,Credit Card,83,Yes,3,Next Day,15.00%,$37.2,$26,4,4,$38.7,$0K
Sports,Germany,3605,2/14/2023 12:00:00 AM,ORDER00094,Bank Transfer,92,No,4,Standard,20.00%,$198.9,$201,6,3,$45.0,$1K
Electronics,Canada,8370,11/09/23 0:00,ORDER00095,Cash,897,Yes,5,Express,21.00%,$487.1,$695,8,3,$33.0,$3K
Sports,France,1493,07/07/23 0:00,ORDER00096,PayPal,399,No,4,Next Day,12.00%,$600.7,$392,7,5,$46.7,$4K
Books,Canada,2028,09/07/23 0:00,ORDER00097,Bank Transfer,612,No,2,Standard,35.00%,$96.9,$36,5,5,$24.5,$0K
Books,UK,4830,08/04/23 0:00,ORDER00098,Credit Card,566,Yes,5,Next Day,9.00%,$316.3,$275,6,1,$36.9,$2K
Sports,France,5196,12/13/2023 12:00:00 AM,ORDER00099,Bank Transfer,909,Yes,2,Standard,38.00%,$546.1,$461,8,5,$2.6,$3K
Electronics,Germany,9285,3/19/2023 12:00:00 AM,ORDER00100,Cash,634,No,5,Standard,9.00%,$682.0,$811,5,5,$5.3,$3K
Sports,USA,2702,8/24/2023 12:00:00 AM,ORDER00101,Cash,939,No,5,Express,13.00%,$837.8,"$1,476",7,1,$3.1,$5K
Home,Canada,4626,05/05/23 0:00,ORDER00102,Bank Transfer,85,Yes,5,Standard,22.00%,$762.7,$323,5,4,$29.4,$3K
Sports,USA,9995,09/11/23 0:00,ORDER00103,Bank Transfer,204,Yes,4,Express,13.00%,$784.3,$867,5,0,$32.2,$3K
Clothing,UK,9725,4/28/2023 12:00:00 AM,ORDER00104,Credit Card,325,Yes,5,Standard,25.00%,$287.7,$505,9,3,$17.5,$2K
Sports,USA,4654,01/05/23 0:00,ORDER00105,Bank Transfer,775,No,5,Express,13.00%,$329.5,$327,8,2,$11.2,$2K
Sports,Germany,9671,1/20/2023 12:00:00 AM,ORDER00106,Credit Card,965,No,1,Standard,36.00%,$632.4,$482,4,4,$15.9,$2K
Home,UK,4455,06/01/23 0:00,ORDER00107,Cash,48,No,2,Next Day,12.00%,$181.8,$143,7,2,$46.0,$1K
Home,UK,9010,05/01/23 0:00,ORDER00108,Cash,640,No,1,Standard,21.00%,$909.8,"$1,729",9,0,$17.0,$6K
Home,France,8883,3/25/2023 12:00:00 AM,ORDER00109,Cash,132,No,1,Standard,37.00%,$727.5,$618,9,4,$8.3,$4K
Electronics,UK,1054,8/21/2023 12:00:00 AM,ORDER00110,Credit Card,973,Yes,5,Standard,36.00%,$67.3,$72,8,0,$28.1,$0K
Books,France,4509,08/08/23 0:00,ORDER00111,Bank Transfer,869,Yes,2,Standard,26.00%,$753.4,$696,7,1,$11.9,$4K
Electronics,UK,3274,11/10/23 0:00,ORDER00112,Bank Transfer,181,No,2,Standard,10.00%,$527.6,$193,2,5,$10.2,$1K
Electronics,USA,5689,06/06/23 0:00,ORDER00113,Bank Transfer,847,Yes,5,Express,20.00%,$939.7,"$1,110",5,2,$6.8,$4K
Books,USA,6700,12/27/2023 12:00:00 AM,ORDER00114,PayPal,144,Yes,2,Express,19.00%,$509.4,$417,5,0,$26.0,$2K
Books,UK,5871,06/02/23 0:00,ORDER00115,Credit Card,661,No,2,Standard,19.00%,$580.3,$291,3,2,$28.9,$1K
Clothing,UK,3037,07/05/23 0:00,ORDER00116,Cash,228,Yes,1,Next Day,21.00%,$840.9,$728,5,0,$49.2,$3K
Home,Germany,9363,04/06/23 0:00,ORDER00117,PayPal,955,Yes,5,Standard,5.00%,$920.4,$458,2,4,$49.0,$2K
Sports,France,5381,12/10/23 0:00,ORDER00118,Cash,792,Yes,1,Standard,30.00%,$892.5,"$1,631",9,2,$48.5,$6K
Sports,UK,4534,07/01/23 0:00,ORDER00119,PayPal,720,No,5,Express,15.00%,$568.8,$116,1,0,$43.3,$0K
Clothing,UK,5849,05/04/23 0:00,ORDER00120,Credit Card,910,Yes,4,Express,24.00%,$630.4,$280,2,1,$6.0,$1K
Books,Canada,3931,06/11/23 0:00,ORDER00121,Credit Card,374,Yes,2,Next Day,11.00%,$11.3,$5,3,4,$39.2,$0K
Clothing,Germany,6324,11/17/2023 12:00:00 AM,ORDER00122,Bank Transfer,854,No,1,Express,32.00%,$576.2,$391,7,0,$39.6,$3K
Home,Germany,7618,6/20/2023 12:00:00 AM,ORDER00123,Credit Card,561,Yes,5,Express,29.00%,$193.5,$231,6,0,$10.4,$1K
Electronics,France,1880,09/12/23 0:00,ORDER00124,Credit Card,306,Yes,4,Standard,7.00%,$585.6,$669,5,4,$4.6,$3K
Sports,USA,2742,3/24/2023 12:00:00 AM,ORDER00125,PayPal,582,Yes,5,Next Day,15.00%,$989.1,"$1,619",8,0,$14.9,$7K
Sports,UK,3026,12/27/2023 12:00:00 AM,ORDER00126,Credit Card,170,No,4,Express,34.00%,$352.4,$393,7,4,$11.6,$2K
Sports,Germany,8788,7/24/2023 12:00:00 AM,ORDER00127,Cash,676,No,2,Express,23.00%,$730.4,"$1,114",10,5,$6.9,$6K
Clothing,Germany,2790,07/11/23 0:00,ORDER00128,Bank Transfer,449,No,4,Next Day,11.00%,$486.5,$348,6,3,$5.3,$3K
Sports,France,4847,8/23/2023 12:00:00 AM,ORDER00129,Cash,96,Yes,5,Next Day,32.00%,$688.7,"$1,038",8,1,$47.7,$4K
Electronics,USA,6779,10/24/2023 12:00:00 AM,ORDER00130,Credit Card,198,No,2,Standard,24.00%,$839.9,$338,2,5,$4.6,$1K
Clothing,UK,4330,6/26/2023 12:00:00 AM,ORDER00131,Bank Transfer,607,No,2,Standard,18.00%,$718.5,$224,2,0,$10.1,$1K
Home,Canada,2696,10/12/23 0:00,ORDER00132,Cash,257,No,4,Next Day,26.00%,$289.2,$341,6,1,$12.0,$1K
Books,Canada,8779,07/04/23 0:00,ORDER00133,PayPal,882,Yes,3,Next Day,20.00%,$855.3,$202,1,4,$46.9,$1K
Sports,Canada,9243,07/09/23 0:00,ORDER00134,Credit Card,691,Yes,2,Express,9.00%,$978.9,$675,6,1,$32.7,$5K
Sports,Canada,3621,12/28/2023 12:00:00 AM,ORDER00135,Cash,293,No,5,Express,10.00%,$912.0,$400,2,4,$32.5,$2K
Clothing,France,1694,12/07/23 0:00,ORDER00136,Bank Transfer,931,Yes,1,Express,27.00%,$600.8,$732,6,0,$29.6,$3K
Electronics,UK,5873,8/24/2023 12:00:00 AM,ORDER00137,Bank Transfer,817,Yes,5,Express,10.00%,$884.6,"$1,908",9,1,$19.4,$7K
Books,France,7470,3/28/2023 12:00:00 AM,ORDER00138,Cash,862,No,3,Express,32.00%,$166.2,$142,5,0,$35.5,$1K
Books,France,2045,03/07/23 0:00,ORDER00139,Bank Transfer,388,No,1,Express,5.00%,$204.5,$113,5,0,$17.3,$1K
Sports,Canada,3481,11/04/23 0:00,ORDER00140,Cash,611,No,3,Express,10.00%,$264.7,$271,6,5,$14.5,$1K
Home,France,2325,03/10/23 0:00,ORDER00141,Bank Transfer,555,No,3,Standard,22.00%,$774.0,$425,6,0,$18.4,$4K
Electronics,UK,4541,07/02/23 0:00,ORDER00142,Credit Card,974,Yes,4,Express,20.00%,$248.6,$326,8,5,$9.6,$2K
Electronics,Canada,3159,02/04/23 0:00,ORDER00143,Cash,369,Yes,5,Next Day,27.00%,$723.1,$54,1,1,$32.3,$1K
Home,UK,7034,08/09/23 0:00,ORDER00144,Bank Transfer,1000,No,1,Next Day,14.00%,$838.5,$642,4,0,$3.7,$3K
Electronics,UK,5540,01/10/23 0:00,ORDER00145,PayPal,918,No,5,Standard,10.00%,$209.8,$21,1,0,$19.4,$0K
Sports,Canada,5356,10/28/2023 12:00:00 AM,ORDER00146,Bank Transfer,202,Yes,3,Express,18.00%,$553.8,$253,4,5,$29.2,$2K
Clothing,Canada,7108,10/09/23 0:00,ORDER00147,PayPal,384,No,3,Next Day,5.00%,$839.6,$849,10,5,$26.4,$8K
Clothing,France,8379,3/21/2023 12:00:00 AM,ORDER00148,Bank Transfer,513,No,1,Standard,23.00%,$84.7,$133,10,4,$49.5,$1K
Electronics,France,1731,11/27/2023 12:00:00 AM,ORDER00149,Credit Card,907,Yes,1,Express,28.00%,$597.7,$296,6,5,$27.2,$3K
Electronics,Canada,9973,12/25/2023 12:00:00 AM,ORDER00150,Credit Card,371,Yes,4,Express,35.00%,$202.3,$166,5,4,$35.5,$1K
Home,France,5541,04/08/23 0:00,ORDER00151,Bank Transfer,556,No,2,Standard,27.00%,$889.2,$587,7,5,$14.6,$5K
Home,Germany,7006,3/16/2023 12:00:00 AM,ORDER00152,Credit Card,955,No,4,Standard,22.00%,$879.6,$158,1,1,$26.3,$1K
Books,Canada,3738,7/27/2023 12:00:00 AM,ORDER00153,PayPal,384,Yes,4,Next Day,23.00%,$609.7,$943,10,0,$19.2,$5K
Books,Germany,4788,7/18/2023 12:00:00 AM,ORDER00154,Credit Card,24,No,1,Express,36.00%,$368.8,$58,1,5,$21.2,$0K
Sports,Canada,1933,12/23/2023 12:00:00 AM,ORDER00155,Credit Card,700,Yes,5,Express,32.00%,$780.9,$117,1,3,$48.4,$1K
Electronics,France,8813,10/08/23 0:00,ORDER00156,Bank Transfer,131,Yes,3,Standard,35.00%,$287.2,$43,1,1,$8.4,$0K
Books,UK,5916,2/28/2023 12:00:00 AM,ORDER00157,PayPal,378,Yes,1,Next Day,17.00%,$819.1,$750,10,2,$7.1,$7K
Electronics,Canada,6692,9/23/2023 12:00:00 AM,ORDER00158,PayPal,99,No,2,Standard,21.00%,$208.4,$113,4,5,$13.9,$1K
Sports,USA,8966,12/08/23 0:00,ORDER00159,Bank Transfer,575,No,2,Standard,33.00%,$136.6,$167,7,5,$12.3,$1K
Books,Germany,6255,1/15/2023 12:00:00 AM,ORDER00160,Bank Transfer,932,Yes,3,Next Day,40.00%,$691.2,"$1,090",9,5,$49.4,$4K
Home,UK,8380,9/15/2023 12:00:00 AM,ORDER00161,Cash,735,No,3,Next Day,16.00%,$719.4,$696,8,4,$23.5,$5K
Home,USA,5947,03/07/23 0:00,ORDER00162,PayPal,124,Yes,5,Standard,6.00%,$304.0,$644,9,2,$11.1,$3K
Sports,USA,3586,10/19/2023 12:00:00 AM,ORDER00163,Credit Card,964,Yes,3,Standard,19.00%,$244.7,$34,1,0,$38.7,$0K
Books,France,4729,2/20/2023 12:00:00 AM,ORDER00164,PayPal,595,No,5,Express,15.00%,$928.1,$170,2,0,$44.7,$2K
Home,Germany,8551,9/26/2023 12:00:00 AM,ORDER00165,Cash,943,Yes,3,Standard,26.00%,$63.9,$10,1,3,$23.8,$0K
Home,France,4776,7/22/2023 12:00:00 AM,ORDER00166,PayPal,740,Yes,2,Standard,35.00%,$595.7,$925,9,5,$49.4,$3K
Sports,UK,6686,12/17/2023 12:00:00 AM,ORDER00167,Bank Transfer,149,Yes,2,Standard,34.00%,$805.0,"$1,074",9,2,$21.5,$5K
Books,Germany,5074,8/16/2023 12:00:00 AM,ORDER00168,Credit Card,210,No,1,Next Day,10.00%,$957.7,"$1,328",7,5,$17.4,$6K
Books,France,6176,12/06/23 0:00,ORDER00169,PayPal,563,Yes,1,Standard,35.00%,$744.9,$432,5,0,$9.2,$2K
Clothing,Canada,9921,5/13/2023 12:00:00 AM,ORDER00170,Bank Transfer,412,No,1,Standard,21.00%,$811.5,$876,7,0,$22.3,$4K
Home,Germany,5833,05/10/23 0:00,ORDER00171,PayPal,783,No,1,Next Day,15.00%,$927.6,$820,10,4,$17.2,$8K
Books,USA,9604,4/20/2023 12:00:00 AM,ORDER00172,PayPal,42,Yes,3,Next Day,38.00%,$449.7,$185,4,5,$3.1,$1K
Home,UK,5474,7/17/2023 12:00:00 AM,ORDER00173,Cash,59,Yes,5,Standard,20.00%,$76.0,$103,7,5,$16.6,$0K
Electronics,USA,3961,4/15/2023 12:00:00 AM,ORDER00174,PayPal,706,No,2,Standard,33.00%,$254.0,$482,10,4,$41.1,$2K
Sports,Germany,6255,09/05/23 0:00,ORDER00175,Cash,37,Yes,1,Express,11.00%,$995.5,"$1,552",7,1,$37.6,$6K
Sports,UK,8339,3/27/2023 12:00:00 AM,ORDER00176,Cash,779,No,2,Next Day,26.00%,$195.9,$82,3,5,$5.2,$0K
Sports,Canada,8360,04/05/23 0:00,ORDER00177,Cash,87,Yes,3,Express,29.00%,$251.1,$299,8,4,$30.8,$1K
Books,USA,2329,7/17/2023 12:00:00 AM,ORDER00178,Cash,44,Yes,2,Standard,19.00%,$409.6,$270,5,4,$23.7,$2K
Books,Germany,3504,10/22/2023 12:00:00 AM,ORDER00179,PayPal,873,Yes,4,Next Day,32.00%,$874.9,$845,6,4,$29.6,$4K
Sports,UK,4540,9/27/2023 12:00:00 AM,ORDER00180,Cash,12,Yes,2,Express,31.00%,$796.3,$79,1,5,$10.0,$1K
Sports,Canada,5609,02/04/23 0:00,ORDER00181,PayPal,771,Yes,4,Next Day,24.00%,$595.6,"$1,093",10,5,$45.5,$5K
Home,UK,7652,03/12/23 0:00,ORDER00182,Credit Card,308,No,4,Next Day,7.00%,$505.9,$351,4,5,$44.7,$2K
Clothing,USA,5267,4/23/2023 12:00:00 AM,ORDER00183,Bank Transfer,81,No,1,Standard,27.00%,$691.1,$576,7,2,$37.9,$4K
Books,Canada,2807,07/02/23 0:00,ORDER00184,Credit Card,33,No,1,Next Day,14.00%,$179.1,$222,10,2,$50.0,$2K
Books,Germany,5888,12/18/2023 12:00:00 AM,ORDER00185,Credit Card,183,Yes,2,Express,12.00%,$591.2,$776,7,4,$7.2,$4K
Books,UK,6064,02/09/23 0:00,ORDER00186,Bank Transfer,129,No,4,Next Day,32.00%,$505.5,$220,4,2,$20.7,$1K
Sports,Canada,9281,9/23/2023 12:00:00 AM,ORDER00187,PayPal,807,Yes,2,Next Day,24.00%,$581.5,$70,1,3,$21.1,$0K
